station_origin,station_destination,flows,population,jobs,distance
Abbey Road,Bank and Monument,0,599,78549,8131.410852278374
Abbey Road,Beckton,1,599,442,8510.047005693092
Abbey Road,Blackwall,3,599,665,3775.359872441325
Abbey Road,Canary Wharf,1,599,58772,5086.404941034889
Abbey Road,Canning Town,37,599,15428,2228.8741846469034
Abbey Road,Crossharbour,1,599,1208,6686.335036455846
Abbey Road,Custom House,0,599,845,3824.789936120775
Abbey Road,Cutty Sark,2,599,1748,8503.736582029253
Abbey Road,Cyprus,7,599,850,6532.03718518448
Abbey Road,Devons Road,1,599,611,3958.290432237898
Abbey Road,East India,2,599,1522,3384.060703280999
Abbey Road,Island Gardens,2,599,691,7706.1453925784
Abbey Road,King George V,5,599,800,6805.940949293192
Abbey Road,Langdon Park,8,599,1989,4810.624641927816
Abbey Road,Lewisham,0,599,2400,11213.267832433867
Abbey Road,Limehouse,2,599,2969,6154.4232821428795
Abbey Road,London City Airport,4,599,1941,5777.364535549046
Abbey Road,Pontoon Dock,8,599,1123,4636.026196749293
Abbey Road,Poplar,0,599,1301,4498.312601743931
Abbey Road,Prince Regent,1,599,754,4349.277514093412
Abbey Road,Royal Albert,4,599,684,5237.697526411429
Abbey Road,Shadwell,1,599,7447,6583.487279124694
Abbey Road,South Quay,7,599,4591,6089.597423699966
Abbey Road,Star Lane,7,599,1052,1397.47137890339
Abbey Road,Stratford,285,599,55954,1174.5026044785152
Abbey Road,Stratford High Street,10,599,788,655.2042983521716
Abbey Road,Stratford International,33,599,1546,2495.5684176130394
Abbey Road,West Ham,130,599,5487,533.8352508211111
Abbey Road,West Silvertown,2,599,893,3879.977381453637
Abbey Road,Westferry,3,599,1250,5180.817720491309
Abbey Road,Woolwich Arsenal,32,599,4428,9235.19160039565
Acton Central,Barking,0,1224,7004,28858.615099800933
Acton Central,Blackhorse Road,0,1224,2955,19049.78805616985
Acton Central,Brondesbury,76,1224,712,6439.255625783477
Acton Central,Brondesbury Park,31,1224,895,5697.084875423086
Acton Central,Bushey,0,1224,456,20283.37910917333
Acton Central,Caledonian Road & Barnsbury,22,1224,1668,14032.096755981685
Acton Central,Camden Road,52,1224,3784,12267.545294208541
Acton Central,Canada Water,0,1224,20443,19290.079288746954
Acton Central,Canonbury,3,1224,846,15826.792429811572
Acton Central,Carpenders Park,0,1224,340,18320.47126522395
Acton Central,Crouch Hill,2,1224,404,13393.270619811085
Acton Central,Dalston Kingsland,5,1224,2091,17007.959844124813
Acton Central,Denmark Hill,0,1224,2612,19357.898358926057
Acton Central,Edmonton Green,0,1224,783,24977.18143888645
Acton Central,Euston,17,1224,16800,11674.399072072647
Acton Central,Finchley Road & Frognal,52,1224,1529,7919.1151780698365
Acton Central,Gospel Oak,18,1224,2025,10278.171828193264
Acton Central,Gunnersbury,102,1224,4775,2169.3109900321106
Acton Central,Hackney Central,10,1224,2440,18297.695944431787
Acton Central,Hackney Wick,5,1224,1263,20676.617741920378
Acton Central,Haggerston,2,1224,1184,17998.652531001655
Acton Central,Hampstead Heath,59,1224,2792,9339.626725622302
Acton Central,Harlesden,0,1224,1668,4212.557746358709
Acton Central,Harringay Green Lanes,3,1224,544,14899.881307326916
Acton Central,Harrow & Wealdstone,3,1224,1335,12880.238870774432
Acton Central,Hatch End,0,1224,93,15877.21502702274
Acton Central,Headstone Lane,4,1224,310,14731.100700501931
Acton Central,Highams Park,0,1224,390,24555.682140644138
Acton Central,Highbury & Islington,49,1224,25385,14845.686196882338
Acton Central,Homerton,3,1224,1998,19333.285665172167
Acton Central,Hoxton,4,1224,2181,18833.23411012761
Acton Central,Kensal Green,0,1224,472,4417.595180248881
Acton Central,Kensal Rise,39,1224,1376,4694.575496267802
Acton Central,Kentish Town West,54,1224,1128,11369.314313882296
Acton Central,Kenton,2,1224,768,11096.420527707876
Acton Central,Kew Gardens,18,1224,792,3949.5334683831406
Acton Central,Kilburn High Road,0,1224,266,6866.675152555201
Acton Central,Leyton Midland Road,0,1224,445,22254.424273971876
Acton Central,Leytonstone High Road,0,1224,314,23468.522918564977
Acton Central,New Cross,1,1224,1027,22156.53467172023
Acton Central,New Cross Gate,0,1224,1340,21921.304463377364
Acton Central,North Wembley,0,1224,365,8773.693152371092
Acton Central,Queen's Park,0,1224,2167,5802.194077978811
Acton Central,Richmond,318,1224,5397,6117.653704120939
Acton Central,Shadwell,0,1224,7447,18657.782147623995
Acton Central,Shoreditch High Street,4,1224,7558,19122.95000391152
Acton Central,South Acton,7,1224,975,1152.4967785759086
Acton Central,South Hampstead,3,1224,236,7843.008678583402
Acton Central,South Kenton,0,1224,261,9709.42803768239
Acton Central,South Tottenham,0,1224,552,16758.674890668975
Acton Central,Stonebridge Park,0,1224,729,5707.496961591143
Acton Central,Stratford,11,1224,55954,22249.536628284404
Acton Central,Surrey Quays,0,1224,1005,19839.585932906582
Acton Central,Upper Holloway,4,1224,898,12178.36889465897
Acton Central,Watford High Street,3,1224,790,21597.59091851628
Acton Central,Watford Junction,5,1224,1367,23003.589873710273
Acton Central,Wembley Central,1,1224,1327,7425.588178089536
Acton Central,West Hampstead,141,1224,5856,7288.470995328279
Acton Central,White Hart Lane,0,1224,641,22578.81720707686
Acton Central,Whitechapel,1,1224,17633,17927.152599099347
Acton Central,Willesden Junction,90,1224,4165,3065.371374658801
Acton Central,Woodgrange Park,0,1224,242,26708.602449243775
Acton Town,Aldgate,3,3745,7782,16943.751441662655
Acton Town,Aldgate East,17,3745,7932,17185.795767094834
Acton Town,Alperton,35,3745,741,4973.03760784244
Acton Town,Amersham,0,3745,256,37455.118055272076
Acton Town,Angel,11,3745,8103,15763.676068745941
Acton Town,Archway,1,3745,2193,18217.27566581004
Acton Town,Arnos Grove,1,3745,748,25901.027685643458
Acton Town,Arsenal,0,3745,315,17900.02906732186
Acton Town,Baker Street,19,3745,14973,12097.171820293102
Acton Town,Balham,0,3745,3814,18527.563073704223
Acton Town,Bank and Monument,66,3745,78549,15506.858259859691
Acton Town,Barbican,9,3745,9134,16902.25425374231
Acton Town,Barking,1,3745,7004,29080.57833227145
Acton Town,Barkingside,0,3745,262,34635.83961150432
Acton Town,Barons Court,84,3745,2956,5270.453280074591
Acton Town,Bayswater,3,3745,615,9786.720321400213
Acton Town,Becontree,0,3745,456,32375.014173136216
Acton Town,Belsize Park,0,3745,2255,17213.092127365515
Acton Town,Bermondsey,6,3745,3172,16806.49278529078
Acton Town,Bethnal Green,2,3745,4660,18755.54166929188
Acton Town,Blackfriars,39,3745,10849,14337.581854825703
Acton Town,Blackhorse Road,0,3745,2955,24646.442587407775
Acton Town,Bond Street,27,3745,20967,12250.135620043107
Acton Town,Borough,1,3745,3254,15233.285035829991
Acton Town,Boston Manor,62,3745,892,3511.6679282733157
Acton Town,Bounds Green,1,3745,778,24546.780258880965
Acton Town,Bow Road,1,3745,1193,20883.42424213499
Acton Town,Brixton,16,3745,5084,16094.311565270153
Acton Town,Bromley-by-Bow,2,3745,1613,21892.189250291784
Acton Town,Burnt Oak,0,3745,649,26884.36833090102
Acton Town,Caledonian Road,2,3745,1803,16618.024330197895
Acton Town,Camden Town,3,3745,6348,15181.235852159154
Acton Town,Canada Water,11,3745,20443,17795.994422659718
Acton Town,Canary Wharf,57,3745,58772,20397.814872496154
Acton Town,Canning Town,3,3745,15428,22941.948909559185
Acton Town,Cannon Street,18,3745,4698,15246.010565462911
Acton Town,Canons Park,0,3745,526,24459.194119259886
Acton Town,Chalfont & Latimer,0,3745,554,34069.45175793173
Acton Town,Chalk Farm,0,3745,1329,16175.00172903283
Acton Town,Chancery Lane,20,3745,15391,13817.455888625367
Acton Town,Charing Cross,5,3745,7016,12450.651956012676
Acton Town,Chiswick Park,20,3745,1517,1274.931328008788
Acton Town,Chorleywood,1,3745,702,30556.59747229229
Acton Town,Clapham Common,3,3745,2020,16102.64393702391
Acton Town,Clapham North,1,3745,1238,15459.889869414079
Acton Town,Clapham South,2,3745,1513,17354.950900866963
Acton Town,Cockfosters,0,3745,262,31089.760367192008
Acton Town,Colindale,0,3745,2081,25577.968574869636
Acton Town,Colliers Wood,0,3745,865,21857.996761694478
Acton Town,Covent Garden,44,3745,4355,12619.05661379833
Acton Town,Croxley,0,3745,340,26518.132027884778
Acton Town,Dagenham East,0,3745,649,35082.39617029439
Acton Town,Dagenham Heathway,0,3745,1108,33803.19078430976
Acton Town,Dollis Hill,0,3745,847,16674.327261021044
Acton Town,Ealing Broadway,107,3745,4846,2591.8865980364035
Acton Town,Ealing Common,13,3745,915,1026.6123345670192
Acton Town,Earl's Court,129,3745,6613,6775.225899113811
Acton Town,East Acton,2,3745,1505,7200.724198051852
Acton Town,East Finchley,0,3745,1253,21556.47544023298
Acton Town,East Ham,1,3745,2062,26655.66381509519
Acton Town,East Putney,13,3745,1877,11040.66104963244
Acton Town,Eastcote,2,3745,364,13360.66708319118
Acton Town,Edgware,1,3745,772,28402.482810154826
Acton Town,Edgware Road,12,3745,6868,11062.352962902814
Acton Town,Elephant & Castle,20,3745,6427,14533.342629220508
Acton Town,Embankment,16,3745,10220,12790.977786835598
Acton Town,Euston,14,3745,16800,13807.659751177029
Acton Town,Euston Square,3,3745,8093,13543.922805192602
Acton Town,Farringdon,19,3745,25592,16441.35178415373
Acton Town,Finchley Central,1,3745,1921,23927.014402769506
Acton Town,Finchley Road,0,3745,3417,13983.30403573194
Acton Town,Finsbury Park,7,3745,6769,18672.77958505501
Acton Town,Fulham Broadway,41,3745,4200,8285.356004442949
Acton Town,Gants Hill,0,3745,601,31147.55102150328
Acton Town,Gloucester Road,62,3745,5194,7685.327929545745
Acton Town,Golders Green,1,3745,1871,20776.764546356593
Acton Town,Goldhawk Road,0,3745,370,5382.205499978974
Acton Town,Goodge Street,14,3745,6457,13483.92656415362
Acton Town,Great Portland Street,10,3745,6936,12923.975936028855
Acton Town,Green Park,79,3745,26754,11101.24397015362
Acton Town,Greenford,2,3745,1157,12300.789317859737
Acton Town,Gunnersbury,0,3745,4775,3769.798869047896
Acton Town,Hammersmith,391,3745,18250,4376.635380988082
Acton Town,Hampstead,0,3745,2010,18391.079078179144
Acton Town,Harrow-on-the-Hill,6,3745,3019,14147.276187677422
Acton Town,Hatton Cross,62,3745,1219,12068.07824687425
Acton Town,Heathrow Terminal 4,10,3745,693,13944.410912944677
Acton Town,Heathrow Terminal 5,18,3745,975,16935.98944803791
Acton Town,Heathrow Terminals 2 & 3,44,3745,2406,14480.757392873042
Acton Town,Hendon Central,0,3745,1878,23425.473285328204
Acton Town,High Street Kensington,16,3745,5427,8076.060017192249
Acton Town,Highbury & Islington,4,3745,25385,17165.184821458322
Acton Town,Highgate,1,3745,856,19807.473371672495
Acton Town,Hillingdon,0,3745,318,18075.854550026725
Acton Town,Holborn,117,3745,22346,13251.980961829167
Acton Town,Holland Park,0,3745,2063,9736.407590143175
Acton Town,Holloway Road,7,3745,1696,17233.317524265196
Acton Town,Hounslow Central,42,3745,708,7785.578437256796
Acton Town,Hounslow East,55,3745,843,7039.90191346838
Acton Town,Hounslow West,20,3745,401,9264.645936691135
Acton Town,Hyde Park Corner,34,3745,2410,10321.373842795709
Acton Town,Ickenham,0,3745,282,16951.42396511766
Acton Town,Kennington,2,3745,1161,14724.128852611377
Acton Town,Kentish Town,1,3745,3404,16459.167067800867
Acton Town,Kew Gardens,4,3745,792,5550.021347398926
Acton Town,Kilburn,0,3745,1953,14243.189412514603
Acton Town,King's Cross St. Pancras,64,3745,33330,14583.376807222296
Acton Town,Kingsbury,0,3745,1018,21519.93642416573
Acton Town,Knightsbridge,64,3745,6821,9737.432509893308
Acton Town,Ladbroke Grove,9,3745,2131,7561.142797456095
Acton Town,Lambeth North,6,3745,1319,13537.636510254228
Acton Town,Lancaster Gate,1,3745,1820,10533.131898404972
Acton Town,Latimer Road,6,3745,1109,6901.578750237078
Acton Town,Leicester Square,52,3745,8847,12253.534421920182
Acton Town,Leyton,0,3745,1447,25178.032714096677
Acton Town,Leytonstone,0,3745,1844,26841.898735531096
